Time,Mel_Reg,Opp_Reg,Type,Opposition,H_A,Date
35,N,B,Shot,VAL,H,21/12/2020
36,F,N,DAP,VAL,H,21/12/2020
37,N,N,,VAL,H,21/12/2020
38,N,N,,VAL,H,21/12/2020
39,N,N,,VAL,H,21/12/2020
40,N,N,,VAL,H,21/12/2020
41,N,N,,VAL,H,21/12/2020
42,N,F,Shot,VAL,H,21/12/2020
43,E,N,Cross,VAL,H,21/12/2020
44,N,N,,VAL,H,21/12/2020
45,F,N,Cross,VAL,H,21/12/2020
46,N,N,,VAL,H,21/12/2020
47,N,N,,VAL,H,21/12/2020
48,N,N,,VAL,H,21/12/2020
49,N,C,Shot,VAL,H,21/12/2020
50,N,N,,VAL,H,21/12/2020
51,N,N,,VAL,H,21/12/2020
52,A+,N,Unspecified,VAL,H,21/12/2020
53,N,D,Shot,VAL,H,21/12/2020
54,N,N,,VAL,H,21/12/2020
55,N,N,,VAL,H,21/12/2020
56,N,N,,VAL,H,21/12/2020
57,N,E,FK,VAL,H,21/12/2020
58,A,N,Shot,VAL,H,21/12/2020
59,N,N,,VAL,H,21/12/2020
60,N,E,Shot,VAL,H,21/12/2020
61,N,N,,VAL,H,21/12/2020
62,N,N,,VAL,H,21/12/2020
63,N,N,,VAL,H,21/12/2020
64,N,Corner,Corner,VAL,H,21/12/2020
65,D,N,Shot,VAL,H,21/12/2020
66,N,N,,VAL,H,21/12/2020
67,F,N,DAP,VAL,H,21/12/2020
68,N,N,,VAL,H,21/12/2020
69,F,N,DAP,VAL,H,21/12/2020
70,N,N,,VAL,H,21/12/2020
71,F,N,Unspecified,VAL,H,21/12/2020
72,N,N,,VAL,H,21/12/2020
73,C,N,FK,VAL,H,21/12/2020
74,N,F,DAP,VAL,H,21/12/2020
75,F,N,Cross,VAL,H,21/12/2020
76,N,N,,VAL,H,21/12/2020
77,N,N,,VAL,H,21/12/2020
78,N,N,,VAL,H,21/12/2020
79,N,N,,VAL,H,21/12/2020
80,E,N,Cross,VAL,H,21/12/2020
81,D,N,Cross,VAL,H,21/12/2020
82,N,N,,VAL,H,21/12/2020
83,N,N,,VAL,H,21/12/2020
84,N,N,,VAL,H,21/12/2020
85,N,N,,VAL,H,21/12/2020
86,N,N,,VAL,H,21/12/2020
87,N,N,,VAL,H,21/12/2020
88,N,N,,VAL,H,21/12/2020
89,F,N,Cross,VAL,H,21/12/2020
90,A,N,Shot,VAL,H,21/12/2020
91,N,N,,VAL,H,21/12/2020
92,N,N,,VAL,H,21/12/2020
93,N,N,,VAL,H,21/12/2020
94,N,N,,VAL,H,21/12/2020
1,F,N,TB,LIJ,A,07/12/2020
2,F,N,DAP,LIJ,A,07/12/2020
3,N,D,Header,LIJ,A,07/12/2020
4,N,N,,LIJ,A,07/12/2020
5,N,C,Cross,LIJ,A,07/12/2020
6,N,N,,LIJ,A,07/12/2020
7,N,N,,LIJ,A,07/12/2020
8,N,N,,LIJ,A,07/12/2020
9,N,N,,LIJ,A,07/12/2020
10,N,N,,LIJ,A,07/12/2020
11,N,N,,LIJ,A,07/12/2020
12,E,N,Cross,LIJ,A,07/12/2020
13,N,N,,LIJ,A,07/12/2020
14,N,N,,LIJ,A,07/12/2020
15,N,N,,LIJ,A,07/12/2020
16,E,N,FK,LIJ,A,07/12/2020
17,E,N,Cross,LIJ,A,07/12/2020
18,N,N,,LIJ,A,07/12/2020
19,F,N,Unspecified,LIJ,A,07/12/2020
20,N,N,,LIJ,A,07/12/2020
21,N,N,,LIJ,A,07/12/2020
22,F,N,TB,LIJ,A,07/12/2020
23,N,N,,LIJ,A,07/12/2020
24,N,N,,LIJ,A,07/12/2020
25,N,N,,LIJ,A,07/12/2020
26,N,B,Header,LIJ,A,07/12/2020
27,N,N,,LIJ,A,07/12/2020
28,N,N,,LIJ,A,07/12/2020
29,N,N,,LIJ,A,07/12/2020
30,N,N,,LIJ,A,07/12/2020
31,N,N,,LIJ,A,07/12/2020
32,E,N,FK,LIJ,A,07/12/2020
33,N,N,,LIJ,A,07/12/2020
34,N,F,DAP,LIJ,A,07/12/2020
35,N,N,,LIJ,A,07/12/2020
36,N,A,Shot,LIJ,A,07/12/2020
37,E,N,TB,LIJ,A,07/12/2020
38,N,N,,LIJ,A,07/12/2020
39,N,C,Shot,LIJ,A,07/12/2020
40,N,N,,LIJ,A,07/12/2020
41,N,N,,LIJ,A,07/12/2020
42,N,N,,LIJ,A,07/12/2020
43,D,N,TB,LIJ,A,07/12/2020
44,N,B,Shot,LIJ,A,07/12/2020
45,F,F,Cross,LIJ,A,07/12/2020
46,N,C,Shot,LIJ,A,07/12/2020
47,N,D,Shot,LIJ,A,07/12/2020
47.5,E,N,Shot,LIJ,A,07/12/2020
48,D,N,Cross,LIJ,A,07/12/2020
49,Corner,N,Corner,LIJ,A,07/12/2020
50,C,N,Shot,LIJ,A,07/12/2020
51,N,N,,LIJ,A,07/12/2020
52,N,N,,LIJ,A,07/12/2020
53,N,N,,LIJ,A,07/12/2020
54,N,N,,LIJ,A,07/12/2020
55,N,N,,LIJ,A,07/12/2020
56,N,N,,LIJ,A,07/12/2020
57,F,N,DAP,LIJ,A,07/12/2020
58,F,N,DAP,LIJ,A,07/12/2020
59,Corner,N,Corner,LIJ,A,07/12/2020
60,N,E,Cross,LIJ,A,07/12/2020
61,E,N,Shot,LIJ,A,07/12/2020
62,E,N,Shot,LIJ,A,07/12/2020
63,D,N,Cross,LIJ,A,07/12/2020
64,D,N,Shot,LIJ,A,07/12/2020
65,N,N,,LIJ,A,07/12/2020
66,N,N,,LIJ,A,07/12/2020
67,F,N,DAP,LIJ,A,07/12/2020
68,D,N,Cross,LIJ,A,07/12/2020
69,N,N,,LIJ,A,07/12/2020
70,N,N,,LIJ,A,07/12/2020
71,N,N,,LIJ,A,07/12/2020
72,B,N,Shot,LIJ,A,07/12/2020
73,N,E,Cross,LIJ,A,07/12/2020
74,N,N,,LIJ,A,07/12/2020
75,F,N,DAP,LIJ,A,07/12/2020
76,E,N,Cross,LIJ,A,07/12/2020
77,N,N,,LIJ,A,07/12/2020
78,F,N,Cross,LIJ,A,07/12/2020
79,N,B,Shot,LIJ,A,07/12/2020
80,N,N,,LIJ,A,07/12/2020
81,N,N,,LIJ,A,07/12/2020
82,N,N,,LIJ,A,07/12/2020
83,N,N,,LIJ,A,07/12/2020
84,N,A,Shot,LIJ,A,07/12/2020
85,E,N,Cross,LIJ,A,07/12/2020
86,N,N,,LIJ,A,07/12/2020
87,N,N,,LIJ,A,07/12/2020
88,N,N,,LIJ,A,07/12/2020
89,F,N,DAP,LIJ,A,07/12/2020
90,D,N,FK,LIJ,A,07/12/2020
91,N,N,,LIJ,A,07/12/2020
92,N,N,,LIJ,A,07/12/2020
93,Corner,N,Corner,LIJ,A,07/12/2020
94,N,N,,LIJ,A,07/12/2020
